lv,exp
1,114
2,132
3,152
4,174
5,201
6,231
7,266
8,305
9,351
10,404
11,465
12,535
13,615
14,707
15,813
16,935
17,1076
18,1237
19,1423
20,1636
21,1882
22,2164
23,2489
24,2862
25,3291
26,3785
27,4353
28,5006
29,5757
30,6621
31,7614
32,8756
33,10069
34,11580
35,13317
36,15315
37,17612
38,20254
39,23292
40,26786
41,30804
42,35424
43,40738
44,46849
45,53876
46,61958
47,71252
48,81940
49,94231
50,108365
51,124620
52,143313
53,164810
54,189532
55,217962
56,250656
57,288255
58,331493
59,381217
60,438399
61,504159
62,579783
63,666751
64,766764
65,881778
66,1014045
67,1166152
68,1341075
69,1542236
70,1773572
71,2039607
72,2345548
73,2697381
74,3101988
75,3567286
76,4102379
77,4717736
78,5425397
79,6239206
80,7175087
81,8251351
82,9489053
83,10912411
84,12549273
85,14431664
86,16596414
87,19085876
88,21948758
89,25241071
90,29027232
91,33381317
92,38388515
93,44146792
94,50768811
95,58384132
96,67141752
97,77213015
98,88794967
99,102114213
